nameRec,UnifiedPlusInd
Hyacinthoides non-scripta x hispanica = H. x massartiana,Hyacinthoides non-scripta x hispanica = H. x massartiana
Hydrangea,Hydrangea
Hydrangea macrophylla,Hydrangea
Hydrocharis morsus-ranae,Hydrocharis morsus-ranae
Hydrocotyle,Hydrocotyle vulgaris
Hydrocotyle vulgaris,Hydrocotyle vulgaris
Hypericum,Hypericum
Hypericum androsaemum,Hypericum androsaemum
Hypericum androsaemum x hircinum = H. x inodorum,Hypericum androsaemum x hircinum = H. x inodorum
Hypericum elodes,Hypericum elodes
Hypericum hirsutum,Hypericum hirsutum
Hypericum humifusum,Hypericum humifusum
Hypericum maculatum,Hypericum maculatum
Hypericum perforatum,Hypericum perforatum
Hypericum pulchrum,Hypericum pulchrum
Hypericum tetrapterum,Hypericum tetrapterum
Hypochaeris,Hypochaeris
Hypochaeris glabra,Hypochaeris glabra
Hypochaeris radicata,Hypochaeris radicata
Hypochaeris radicata subsp. radicata,Hypochaeris radicata
Hyssopus officinalis,Hyssopus officinalis
Ilex,Ilex aquifolium
Ilex aquifolium,Ilex aquifolium
Impatiens,Impatiens
Impatiens capensis,Impatiens capensis
Impatiens glandulifera,Impatiens glandulifera
Impatiens noli-tangere,Impatiens noli-tangere
Inula conyzae,Inula conyzae
Iris,Iris
Iris foetidissima,Iris foetidissima
Iris foetidissima var. foetidissima,Iris foetidissima
Iris pseudacorus,Iris pseudacorus
Isolepis setacea,Isolepis setacea
Iva,Hedera helix
Jasione montana,Jasione montana
Juglans regia,Juglans regia
Juncaceae,Juncaceae
Juncus,Juncus
Juncus acutiflorus,Juncus acutiflorus/articulatus
Juncus acutiflorus/articulatus,Juncus acutiflorus/articulatus
Juncus acutus,Juncus acutus
Juncus articulatus,Juncus acutiflorus/articulatus
Juncus articulatus x acutiflorus = J. x surrejanus,Juncus acutiflorus/articulatus
Juncus bufonius,Juncus bufonius
Juncus bufonius agg. sensu lato,Juncus bufonius
Juncus bulbosus,Juncus bulbosus
Juncus bulbosus subsp. bulbosus,Juncus bulbosus
Juncus conglomeratus,Juncus inflexus/effusus/conglomeratus
Juncus conglomeratus var. subuliflorus,Juncus inflexus/effusus/conglomeratus
Juncus effusus,Juncus inflexus/effusus/conglomeratus
Juncus gerardii,Juncus gerardii
Juncus inflexus,Juncus inflexus/effusus/conglomeratus
Juncus inflexus/effusus/conglomeratus,Juncus inflexus/effusus/conglomeratus
Juncus maritimus,Juncus maritimus
Juncus pallidus,Juncus inflexus/effusus/conglomeratus
Juncus squarrosus,Juncus squarrosus
Juncus subnodulosus,Juncus subnodulosus
Juncus tenuis,Juncus tenuis
Juniperus,Juniperus communis
Juniperus communis,Juniperus communis
Kickxia elatine,Kickxia elatine
Kickxia spuria,Kickxia spuria
Knautia arvensis,Knautia arvensis
Knautia dipsacifolia,Knautia arvensis
Koeleria macrantha,Koeleria macrantha
Koeleria macrantha sens.lat.,Koeleria macrantha
Koeleria vallesiana,Koeleria vallesiana
Lactuca serriola,Lactuca serriola
Lactuca virosa,Lactuca virosa
Lagurus ovatus,Lagurus ovatus
Lamiastrum galeobdolon subsp. galeobdolon,Lamiastrum galeobdolon
Lamium,Lamium
Lamium album,Lamium album
Lamium amplexicaule,Lamium amplexicaule
Lamium galeobdolon,Lamiastrum galeobdolon
Lamium galeobdolon subsp. montanum,Lamiastrum galeobdolon
Lamium hybridum,Lamium hybridum
Lamium maculatum,Lamium maculatum
Lamium purpureum,Lamium purpureum
Lapsana communis,Lapsana communis
Lapsana communis subsp. communis,Lapsana communis
Larix,Larix
Larix decidua,Larix decidua
Lathyrus,Lathyrus
Lathyrus latifolius,Lathyrus latifolius
Lathyrus linifolius,Lathyrus linifolius
Lathyrus nissolia,Lathyrus nissolia
Lathyrus pratensis,Lathyrus pratensis
Lathyrus sylvestris,Lathyrus sylvestris
Laurus nobilis,Laurus nobilis
Legousia hybrida,Legousia hybrida
Lemna,Lemna
Lemna gibba,Lemna gibba
Lemna minor,Lemna minor
Lemna minuta,Lemna minuta
Lemna trisulca,Lemna trisulca
Leontodon,Leontodon
Leontodon hispidus,Leontodon hispidus
Leontodon hispidus x saxatilis,Leontodon hispidus
Leontodon saxatilis,Leontodon saxatilis
Leonurus cardiaca,Leonurus cardiaca
Lepidium coronopus,Lepidium coronopus
Lepidium didymum,Lepidium didymum
Lepidium draba,Lepidium draba
Lepidium heterophyllum,Lepidium heterophyllum
Lepidium latifolium,Lepidium latifolium
Leucanthemum vulgare,Leucanthemum vulgare
Leycesteria,Leycesteria
Leymus arenarius,Leymus arenarius
Ligusticum scoticum,Ligusticum scoticum
Ligustrum,Ligustrum vulgare
Ligustrum ovalifolium,Ligustrum ovalifolium
Ligustrum vulgare,Ligustrum vulgare
Limonium,Limonium sp.
Limonium binervosum,Limonium sp.
Limonium humile,Limonium sp.
Limonium platyphyllum,Limonium sp.
Limonium vulgare,Limonium sp.
Linaria,Linaria
Linaria purpurea,Linaria purpurea
Linaria vulgaris,Linaria vulgaris
Linum bienne,Linum bienne
Linum catharticum,Linum catharticum
Linum usitatissimum,Linum usitatissimum
Littorella,Littorella uniflora
Littorella uniflora,Littorella uniflora
Lobelia dortmanna,Lobelia dortmanna
Lolium,Lolium
Lolium multiflorum,Lolium multiflorum
Lolium perenne,Lolium perenne
Lonicera,Lonicera periclymenum
Lonicera nitida,Lonicera nitida
Lonicera periclymenum,Lonicera periclymenum
Lotus,Lotus corniculatus
Lotus angustissimus,Lotus angustissimus
Lotus corniculatus,Lotus corniculatus
Lotus corniculatus var. corniculatus,Lotus corniculatus
Lotus pedunculatus,Lotus pedunculatus
Lotus subbiflorus,Lotus subbiflorus
Lupinus arboreus,Lupinus arboreus
Luzula,Luzula
Luzula campestris,Luzula campestris
Luzula forsteri,Luzula forsteri
Luzula multiflora,Luzula multiflora
Luzula multiflora subsp. congesta,Luzula multiflora
Luzula multiflora subsp. multiflora,Luzula multiflora
Luzula pilosa,Luzula pilosa
Luzula sylvatica,Luzula sylvatica
Lycopersicon esculentum,Lycopersicon esculentum
Lycopodium clavatum,Lycopodium clavatum
Lycopus europaeus,Lycopus europaeus
Lysimachia,Lysimachia
Lysimachia nemorum,Lysimachia nemorum
Lysimachia nummularia,Lysimachia nummularia
Lysimachia vulgaris,Lysimachia vulgaris
Lythrum portula,Lythrum portula
Lythrum salicaria,Lythrum salicaria
Malus,Malus
Malus pumila,Malus pumila
Malus sylvestris,Malus sylvestris sens.lat.
Malus sylvestris sens.lat.,Malus sylvestris sens.lat.
Malva,Malva
Malva arborea,Malva arborea
Malva moschata,Malva moschata
Malva neglecta,Malva neglecta
Malva sylvestris,Malva sylvestris
Matricaria,Matricaria
Matricaria chamomilla,Matricaria recutita
Matricaria discoidea,Matricaria discoidea
Matricaria recutita,Matricaria recutita
Meconopsis cambrica,Meconopsis cambrica
Medicago,Medicago
Medicago arabica,Medicago arabica
Medicago lupulina,Medicago lupulina
Medicago polymorpha,Medicago
Medicago sativa,Medicago sativa
Medicago sativa subsp. sativa,Medicago sativa
Melampyrum arvense,Melampyrum arvense
Melampyrum pratense,Melampyrum pratense
Melica nutans,Melica nutans
Melica uniflora,Melica uniflora
Melilotus albus,Melilotus albus
Melilotus altissimus,Melilotus altissimus
Melilotus officinalis,Melilotus officinalis
Melittis melissophyllum,Melittis melissophyllum
Mentha,Mentha
Mentha aquatica,Mentha aquatica
Mentha aquatica x spicata = M. x piperita,Mentha aquatica x spicata = M. x piperita
Mentha arvensis,Mentha arvensis
Menyanthes trifoliata,Menyanthes trifoliata
Mercurialis annua,Mercurialis annua
Mercurialis perennis,Mercurialis perennis
Milium effusum,Milium effusum
Minuartia verna,Minuartia verna
Moehringia trinervia,Moehringia trinervia
Moenchia erecta,Moenchia erecta
Molinia,Molinia caerulea
Molinia caerulea,Molinia caerulea
Molinia caerulea subsp. caerulea,Molinia caerulea
Montia fontana,Montia fontana
Mycelis muralis,Mycelis muralis
Myosotis,Myosotis
Myosotis arvensis,Myosotis arvensis
Myosotis arvensis var. arvensis,Myosotis arvensis
Myosotis arvensis var. sylvestris,Myosotis arvensis
Myosotis discolor,Myosotis discolor
Myosotis laxa,Myosotis laxa subsp. caespitosa
Myosotis laxa subsp. caespitosa,Myosotis laxa subsp. caespitosa
Myosotis ramosissima,Myosotis ramosissima
Myosotis scorpioides,Myosotis scorpioides
Myosotis secunda,Myosotis secunda
Myosotis sylvatica,Myosotis sylvatica
Myosoton aquaticum,Myosoton aquaticum
Myrica gale,Myrica gale
Myriophyllum alterniflorum,Myriophyllum alterniflorum
Myriophyllum aquaticum,Myriophyllum aquaticum
Myriophyllum spicatum,Myriophyllum spicatum
Myriophyllum verticillatum,Myriophyllum verticillatum
Myrrhis odorata,Myrrhis odorata
Narcissus,Narcissus agg.
Narcissus agg.,Narcissus agg.
Narcissus pseudonarcissus,Narcissus pseudonarcissus
Narcissus pseudonarcissus agg.,Narcissus pseudonarcissus
Narcissus pseudonarcissus subsp. pseudonarcissus,Narcissus pseudonarcissus
Nardus,Nardus stricta
Nardus stricta,Nardus stricta
Narthecium ossifragum,Narthecium ossifragum
Neottia cordata,Neottia cordata
Neottia ovata,Neottia ovata
Nothofagus nervosa x obliqua,Nothofagus nervosa x obliqua
Nuphar lutea,Nuphar lutea
Nymphaea alba,Nymphaea alba
Nymphaea alba subsp. alba,Nymphaea alba
Nymphoides peltata,Nymphoides peltata
Odontites vernus,Odontites vernus
Odontites vernus subsp. serotinus,Odontites vernus
Oenanthe,Oenanthe crocata
Oenanthe crocata,Oenanthe crocata
Oenanthe lachenalii,Oenanthe lachenalii
Oenothera,Oenothera
Oenothera stricta,Oenothera stricta
Onobrychis viciifolia,Onobrychis viciifolia
Ononis,Ononis repens
Ononis reclinata,Ononis reclinata
Ononis repens,Ononis repens
Ononis spinosa,Ononis spinosa
Ophioglossum vulgatum,Ophioglossum vulgatum
Ophioglossum vulgatum sens.lat.,Ophioglossum vulgatum
Ophrys apifera,Ophrys apifera
Orchidaceae,Orchidaceae
Orchis mascula,Orchis mascula
Oreopteris limbosperma,Oreopteris limbosperma
Origanum majorana,Origanum vulgare
Origanum vulgare,Origanum vulgare
Ornithogalum pyrenaicum,Ornithogalum pyrenaicum
Ornithopus perpusillus,Ornithopus perpusillus
Orobanche minor,Orobanche minor
Osmunda regalis,Osmunda regalis
Oxalis,Oxalis acetosella
Oxalis acetosella,Oxalis acetosella
Oxalis corniculata,Oxalis corniculata
Oxalis rosea,Oxalis rosea
Oxyria digyna,Oxyria digyna
Pancratium,Pancratium
Papaver,Papaver
Papaver dubium,Papaver dubium
Papaver rhoeas,Papaver rhoeas
Papaver somniferum,Papaver somniferum
Parapholis incurva,Parapholis incurva
Parietaria judaica,Parietaria judaica
Parnassia palustris,Parnassia palustris
Pastinaca sativa,Pastinaca sativa
Paulownia tomentosa,Paulownia tomentosa
Pedicularis palustris,Pedicularis palustris
Pedicularis sylvatica,Pedicularis sylvatica
Pedicularis sylvatica subsp. hibernica,Pedicularis sylvatica
Pentaglottis sempervirens,Pentaglottis sempervirens
Persicaria,Persicaria
Persicaria amphibia,Persicaria amphibia
Persicaria bistorta,Persicaria bistorta
Persicaria capitata,Persicaria capitata
Persicaria hydropiper,Persicaria hydropiper
Persicaria lapathifolia,Persicaria lapathifolia
Persicaria maculosa,Persicaria maculosa
Persicaria mitis,Persicaria mitis
Persicaria vivipara,Persicaria vivipara
Petasites albus,Petasites albus
Petasites hybridus,Petasites hybridus
Petrorhagia nanteuilii,Petrorhagia nanteuilii
Petroselinum crispum,Petroselinum crispum
Petroselinum segetum,Petroselinum segetum
Phacelia tanacetifolia,Phacelia tanacetifolia
Phalaris,Phalaris
Phalaris aquatica,Phalaris aquatica
Phalaris arundinacea,Phalaris arundinacea
Phegopteris connectilis,Phegopteris connectilis
Philadelphus,Philadelphus coronarius
Philadelphus coronarius,Philadelphus coronarius
Phleum,Phleum
Phleum arenarium,Phleum arenarium
Phleum bertolonii,Phleum pratense sens.lat.
Phleum pratense,Phleum pratense sens.lat.
Phleum pratense sens.lat.,Phleum pratense sens.lat.
Phragmites,Phragmites australis
Phragmites australis,Phragmites australis
Phyllitis scolopendrium,Phyllitis scolopendrium
Picea abies,Picea abies
Picea sitchensis,Picea sitchensis
Picris,Picris echioides
Picris echioides,Picris echioides
Picris hieracioides,Picris hieracioides
Pilosella,Pilosella
Pilosella aurantiaca,Pilosella aurantiaca
Pilosella officinarum,Pilosella officinarum
Pimpinella major,Pimpinella major
Pimpinella saxifraga,Pimpinella saxifraga
Pinguicula lusitanica,Pinguicula lusitanica
Pinguicula vulgaris,Pinguicula vulgaris
Pinus contorta,Pinus contorta
Pinus nigra,Pinus nigra
Pinus sylvestris,Pinus sylvestris
Pittosporaceae,Pittosporaceae
Pittosporum crassifolium,Pittosporum crassifolium
Plantago,Plantago
Plantago coronopus,Plantago coronopus
Plantago lanceolata,Plantago lanceolata
Plantago major,Plantago major
Plantago major subsp. major,Plantago major
Plantago maritima,Plantago maritima
Plantago media,Plantago media
Plantago ovata,Plantago major
Platanthera bifolia,Platanthera bifolia
Platanthera chlorantha,Platanthera chlorantha
Poa,Poa
Poa annua,Poa annua
Poa chaixii,Poa chaixii
Poa compressa,Poa compressa
Poa humilis,Poa pratensis sens.lat.
Poa infirma,Poa infirma
Poa nemoralis,Poa nemoralis
Poa pratensis,Poa pratensis sens.lat.
Poa pratensis sens.lat.,Poa pratensis sens.lat.
Poa trivialis,Poa trivialis
Poaceae,Poaceae
Polygala,Polygala
Polygala serpyllifolia,Polygala serpyllifolia/vulgaris
Polygala serpyllifolia/vulgaris,Polygala serpyllifolia/vulgaris
Polygala vulgaris,Polygala serpyllifolia/vulgaris
Polygonatum multiflorum,Polygonatum multiflorum
Polygonum,Polygonum
Polygonum arenastrum,Polygonum aviculare agg. sensu lato
Polygonum aviculare,Polygonum aviculare agg. sensu lato
Polygonum aviculare agg. sensu lato,Polygonum aviculare agg. sensu lato
Polypodium,Polypodium vulgare sens.lat.
Polypodium interjectum,Polypodium vulgare sens.lat.
Polypodium vulgare,Polypodium vulgare sens.lat.
Polypodium vulgare sens.lat.,Polypodium vulgare sens.lat.
Polystichum,Polystichum
Polystichum aculeatum,Polystichum aculeatum
Polystichum setiferum,Polystichum setiferum
Populus,Populus
Populus alba,Populus alba
Populus alba x tremula = P. x canescens,Populus alba x tremula = P. x canescens
Populus canescens,Populus canescens
Populus nigra,Populus nigra
Populus nigra x deltoides = P. x canadensis,Populus nigra x deltoides = P. x canadensis
Populus tremula,Populus tremula
Potamogeton,Potamogeton
Potamogeton coloratus,Potamogeton coloratus
Potamogeton crispus,Potamogeton crispus
Potamogeton friesii,Potamogeton friesii
Potamogeton natans,Potamogeton natans
Potamogeton pectinatus,Potamogeton pectinatus
Potamogeton polygonifolius,Potamogeton polygonifolius
Potentilla,Potentilla
Potentilla anglica,Potentilla anglica
Potentilla anglica x reptans = P. x mixta,Potentilla anglica x reptans = P. x mixta
Potentilla anserina,Potentilla anserina
Potentilla erecta,Potentilla erecta
Potentilla erecta subsp. erecta,Potentilla erecta
Potentilla erecta x reptans = P. x italica,Potentilla erecta x reptans = P. x italica
Potentilla palustris,Potentilla palustris
Potentilla recta,Potentilla recta
Potentilla reptans,Potentilla reptans
Potentilla sterilis,Potentilla sterilis
Potentilla tabernaemontani,Potentilla tabernaemontani
Potentilla x,Potentilla x
Poterium sanguisorba,Sanguisorba minor
Poterium sanguisorba subsp. sanguisorba,Sanguisorba minor
Primula,Primula
Primula farinosa,Primula farinosa
Primula veris,Primula veris
Primula veris x vulgaris = P. x polyantha,Primula veris x vulgaris = P. x polyantha
Primula vulgaris,Primula vulgaris
Prunella vulgaris,Prunella vulgaris
Prunella vulgaris x laciniata = P. x intermedia,Prunella vulgaris
Prunus,Prunus
Prunus avium,Prunus avium
Prunus cerasifera,Prunus cerasifera
Prunus cerasifera var. pissardii,Prunus cerasifera
Prunus domestica,Prunus domestica
Prunus domestica subsp. insititia,Prunus domestica
Prunus laurocerasus,Prunus laurocerasus
Prunus padus,Prunus padus
Prunus spinosa,Prunus spinosa
Prunus spinosa x domestica = P. x fruticans,Prunus spinosa x domestica = P. x fruticans
Pseudotsuga menziesii,Pseudotsuga menziesii
Pteridium,Pteridium aquilinum
Pteridium aquilinum,Pteridium aquilinum
Pteridium aquilinum subsp. aquilinum,Pteridium aquilinum
Puccinellia,Puccinellia
Puccinellia maritima,Puccinellia maritima
Pulicaria dysenterica,Pulicaria dysenterica
Pulmonaria officinalis,Pulmonaria officinalis
Pyrola rotundifolia,Pyrola rotundifolia
Pyrola rotundifolia subsp. maritima,Pyrola rotundifolia
Quercus,Quercus
Quercus cerris,Quercus cerris
Quercus ilex,Quercus ilex
Quercus petraea,Quercus petraea
Quercus petraea x robur = Q. x rosacea,Quercus petraea x robur = Q. x rosacea
Quercus robur,Quercus robur
Ranunculaceae,Ranunculaceae
Ranunculales,Ranunculales
Ranunculus,Ranunculus
Ranunculus acris,Ranunculus acris
Ranunculus acris var. acris,Ranunculus acris
Ranunculus arvensis,Ranunculus arvensis
Ranunculus auricomus,Ranunculus auricomus
Ranunculus bulbosus,Ranunculus bulbosus
Ranunculus bulbosus var. bulbosus,Ranunculus bulbosus
Ranunculus circinatus,Ranunculus circinatus
Ranunculus ficaria,Ranunculus ficaria
Ranunculus ficaria subsp. ficaria,Ranunculus ficaria
Ranunculus flammula,Ranunculus flammula
Ranunculus fluitans,Ranunculus spp. (water-crowfoots)
Ranunculus hederaceus,Ranunculus hederaceus
Ranunculus lingua,Ranunculus lingua
Ranunculus omiophyllus,Ranunculus spp. (water-crowfoots)
Ranunculus parviflorus,Ranunculus parviflorus
Ranunculus peltatus,Ranunculus spp. (water-crowfoots)
Ranunculus repens,Ranunculus repens
Ranunculus reptans,Ranunculus repens
Ranunculus sardous,Ranunculus sardous
Ranunculus sceleratus,Ranunculus sceleratus
Ranunculus spp. (water-crowfoots),Ranunculus spp. (water-crowfoots)
Ranunculus trichophyllus,Ranunculus spp. (water-crowfoots)
Raphanus raphanistrum,Raphanus raphanistrum
Raphanus raphanistrum subsp. maritimus,Raphanus raphanistrum
Raphanus raphanistrum subsp. raphanistrum,Raphanus raphanistrum
Rapistrum rugosum,Rapistrum rugosum
Reseda lutea,Reseda lutea
Reseda luteola,Reseda luteola
Rhamnus cathartica,Rhamnus cathartica
Rhinanthus angustifolius,Rhinanthus angustifolius
Rhinanthus minor,Rhinanthus minor
Rhinanthus minor subsp. minor,Rhinanthus minor
Rhododendron,Rhododendron ponticum
Rhododendron ponticum,Rhododendron ponticum
Rhynchospora alba,Rhynchospora alba
Ribes,Ribes
Ribes americanum,Ribes americanum
Ribes nigrum,Ribes nigrum
Ribes rubrum,Ribes rubrum
Ribes uva-crispa,Ribes uva-crispa
Rorippa amphibia,Rorippa amphibia
Rorippa microphylla,Rorippa microphylla
Rorippa nasturtium-aquaticum,Rorippa nasturtium-aquaticum
Rorippa nasturtium-aquaticum agg.,Rorippa nasturtium-aquaticum
Rorippa palustris,Rorippa palustris
Rosa,Rosa canina agg.
Rosa afzeliana x canina,Rosa canina agg.
Rosa arvensis,Rosa canina agg.
Rosa caesia subsp. caesia,Rosa canina agg.
Rosa caesia subsp. vosagiaca,Rosa canina agg.
Rosa canina,Rosa canina agg.
Rosa canina agg.,Rosa canina agg.
Rosa rubiginosa,Rosa rubiginosa
Rosa rugosa,Rosa rugosa
Rosa rugosa x canina = R. x praegeri,Rosa canina agg.
Rosa sherardii,Rosa sherardii
Rosa spinosissima,Rosa spinosissima
Rubia peregrina,Rubia peregrina
Rubus,Rubus fruticosus
Rubus armeniacus,Rubus armeniacus
Rubus caesarius,Rubus fruticosus
Rubus caesius,Rubus caesius
Rubus chamaemorus,Rubus chamaemorus
Rubus fruticosus agg.,Rubus fruticosus
Rubus fruticosus agg. x idaeus,Rubus fruticosus
Rubus idaeus,Rubus idaeus
Rubus saxatilis,Rubus saxatilis
Rubus spectabilis,Rubus spectabilis
Rubus ulmifolius,Rubus fruticosus
Rumex,Rumex
Rumex acetosa,Rumex acetosa
Rumex acetosa subsp. acetosa,Rumex acetosa
Rumex acetosella,Rumex acetosella
Rumex acetosella subsp. acetosella,Rumex acetosella
Rumex alpinus,Rumex alpinus
Rumex aquaticus x obtusifolius = R. x platyphyllus,Rumex crispus/obtusifolius
Rumex conglomeratus,Rumex conglomeratus
Rumex crispus,Rumex crispus/obtusifolius
Rumex crispus subsp. littoreus,Rumex crispus/obtusifolius
Rumex crispus x maritimus = R. x fallacinus,Rumex crispus/obtusifolius
Rumex crispus/obtusifolius,Rumex crispus/obtusifolius
Rumex hydrolapathum,Rumex hydrolapathum
Rumex obovatus,Rumex crispus/obtusifolius
Rumex obtusifolius,Rumex crispus/obtusifolius
Rumex obtusifolius var. microcarpus,Rumex crispus/obtusifolius
Rumex palustris,Rumex palustris
Rumex pulcher,Rumex pulcher
Rumex sanguineus,Rumex sanguineus
Rumex sanguineus var. sanguineus,Rumex sanguineus
Rumex sanguineus x pulcher = R. x mixtus,Rumex sanguineus
Ruppia,Ruppia
Ruscus,Ruscus aculeatus
Ruscus aculeatus,Ruscus aculeatus
Sagina,Sagina
Sagina apetala,Sagina apetala
Sagina maritima,Sagina maritima
Sagina nodosa,Sagina nodosa
Sagina procumbens,Sagina procumbens
Sagina saginoides x procumbens = S. x normaniana,Sagina procumbens
Sagittaria sagittifolia,Sagittaria sagittifolia
Salicornia,Salicornia
Salicornia europaea,Salicornia europaea
Salicornia ramosissima,Salicornia ramosissima
Salix,Salix
Salix alba var. alba,Salix alba
Salix arbuscula,Salix arbuscula
Salix aurita,Salix aurita
Salix caprea,Salix caprea
Salix caprea subsp. caprea,Salix caprea
Salix cinerea,Salix cinerea
Salix cinerea subsp. cinerea,Salix cinerea
Salix cinerea subsp. oleifolia,Salix cinerea
Salix euxina x alba = S. x fragilis,Salix euxina x alba = S. x fragilis
Salix herbacea,Salix herbacea
Salix purpurea,Salix purpurea
Salix repens,Salix repens
Salix viminalis,Salix viminalis
Salsola kali subsp. kali,Salsola kali
Salvia verbenaca,Salvia verbenaca
Sambucus,Sambucus nigra
Sambucus nigra,Sambucus nigra
Samolus valerandi,Samolus valerandi
Sanguisorba minor,Sanguisorba minor
Sanguisorba officinalis,Sanguisorba officinalis
Sanicula europaea,Sanicula europaea
Saponaria officinalis,Saponaria officinalis
Sarcocornia perennis,Sarcocornia perennis
Saxifraga,Saxifraga
Saxifraga aizoides,Saxifraga aizoides
Saxifraga cymbalaria,Saxifraga cymbalaria
Saxifraga granulata,Saxifraga granulata
Saxifraga hypnoides,Saxifraga hypnoides
Saxifraga oppositifolia,Saxifraga oppositifolia
Saxifraga stellaris,Saxifraga stellaris
Saxifraga tridactylites,Saxifraga tridactylites
Scabiosa columbaria,Scabiosa columbaria
Schoenoplectus,Schoenoplectus lacustris
Schoenoplectus lacustris,Schoenoplectus lacustris
Schoenoplectus tabernaemontani,Schoenoplectus tabernaemontani
Schoenus nigricans,Schoenus nigricans
Scilla forbesii,Scilla forbesii
Scilla verna,Scilla verna
Scirpus sylvaticus,Scirpus sylvaticus
Scorzoneroides autumnalis,Scorzoneroides autumnalis
Scorzoneroides autumnalis var. autumnalis,Scorzoneroides autumnalis
Scrophularia,Scrophularia
Scrophularia auriculata,Scrophularia auriculata
Scrophularia nodosa,Scrophularia nodosa
Scrophularia scorodonia,Scrophularia scorodonia
Scutellaria galericulata,Scutellaria galericulata
Scutellaria minor,Scutellaria minor
Secale cereale,Secale cereale
Sedum acre,Sedum acre
Sedum album,Sedum album
Sedum anglicum,Sedum anglicum
Sedum cepaea,Sedum
Sedum rosea,Sedum rosea
Selaginella selaginoides,Selaginella selaginoides
Senecio,Senecio
Senecio aquaticus,Senecio aquaticus
Senecio erucifolius,Senecio erucifolius
Senecio jacobaea,Senecio jacobaea
Senecio jacobaea subsp. jacobaea,Senecio jacobaea
Senecio jacobaea var. jacobaea,Senecio jacobaea
Senecio squalidus,Senecio squalidus
Senecio sylvaticus,Senecio sylvaticus
Senecio vernalis,Senecio vernalis
Senecio viscosus,Senecio viscosus
Senecio vulgaris,Senecio vulgaris
Seriphidium maritimum,Seriphidium maritimum
Serratula tinctoria,Serratula tinctoria
Sesleria caerulea,Sesleria caerulea
Sherardia arvensis,Sherardia arvensis
Sidalcea hendersonii,Malva
Silaum silaus,Silaum silaus
Silene,Silene
Silene coronaria,Silene coronaria
Silene dioica,Silene dioica
Silene flos-cuculi,Silene flos-cuculi
Silene flos-jovis,Silene flos-cuculi
Silene latifolia,Silene latifolia
Silene latifolia subsp. alba,Silene latifolia
Silene uniflora,Silene uniflora
Silene vulgaris,Silene vulgaris
Silene vulgaris x uniflora,Silene vulgaris
Silybum marianum,Silybum marianum
Sinapis alba,Sinapis alba
Sinapis arvensis,Sinapis arvensis
Sison amomum,Sison amomum
Sisymbrium altissimum,Sisymbrium altissimum
Sisymbrium officinale,Sisymbrium officinale
Sium latifolium,Sium latifolium
Smyrnium olusatrum,Smyrnium olusatrum
Solanum,Solanum
Solanum dulcamara,Solanum dulcamara
Solanum dulcamara var. marinum,Solanum dulcamara
Solanum nigrum,Solanum nigrum
Solanum tuberosum,Solanum tuberosum
Soleirolia soleirolii,Soleirolia soleirolii
Solidago,Solidago
Solidago canadensis,Solidago canadensis
Solidago virgaurea,Solidago virgaurea
Sonchus,Sonchus
Sonchus arvensis,Sonchus arvensis
Sonchus asper,Sonchus asper
Sonchus asper subsp. asper,Sonchus asper
Sonchus oleraceus,Sonchus oleraceus
Sonchus palustris,Sonchus palustris
Sorbus,Sorbus
Sorbus aria,Sorbus aria
Sorbus arranensis,Sorbus arranensis
Sorbus aucuparia,Sorbus aucuparia
Sorbus intermedia,Sorbus intermedia
Sparganium,Sparganium
Sparganium emersum,Sparganium emersum
Sparganium erectum,Sparganium erectum
Spartina,Spartina
Spartina anglica,Spartina anglica
Spartina maritima,Spartina maritima
Spergula,Spergula arvensis
Spergula arvensis,Spergula arvensis
Spergularia,Spergularia
Spergularia marina,Spergularia marina
Spergularia media,Spergularia media
Spergularia rubra,Spergularia rubra
Spergularia rupicola,Spergularia rupicola
Spergularia rupicola x marina,Spergularia rupicola
Spiranthes spiralis,Spiranthes spiralis
Spirodela polyrhiza,Spirodela polyrhiza
Stachys,Stachys
Stachys arvensis,Stachys arvensis
Stachys byzantina,Stachys byzantina
Stachys germanica,Stachys germanica
Stachys officinalis,Stachys officinalis
Stachys palustris,Stachys palustris
Stachys sylvatica,Stachys sylvatica
Stachys sylvatica x palustris = S. x ambigua,Stachys sylvatica x palustris = S. x ambigua
Stellaria,Stellaria
Stellaria alsine,Stellaria alsine
Stellaria graminea,Stellaria graminea
Stellaria holostea,Stellaria holostea
Stellaria media,Stellaria media
Stellaria neglecta,Stellaria neglecta
Stellaria palustris,Stellaria palustris
Suaeda maritima,Suaeda maritima
Suaeda vera,Suaeda vera
Succisa pratensis,Succisa pratensis
Symphoricarpos albus,Symphoricarpos albus
Symphytum,Symphytum
Symphytum officinale,Symphytum officinale
Symphytum officinale x asperum = S. x uplandicum,Symphytum officinale x asperum = S. x uplandicum
Symphytum officinale x asperum x tuberosum,Symphytum officinale
Symphytum orientale,Symphytum orientale
Syrenia cana,Syrenia cana
Syringa vulgaris,Syringa vulgaris
Tamarix gallica,Tamarix gallica
Tamus communis,Tamus communis
Tanacetum parthenium,Tanacetum parthenium
Tanacetum vulgare,Tanacetum vulgare
Taraxacum,Taraxacum agg.
Taraxacum agg.,Taraxacum agg.
Taraxacum dilatatum,Taraxacum agg.
Taraxacum laevigatum agg.,Taraxacum agg.
Taraxacum nordstedtii,Taraxacum agg.
Taraxacum officinale agg.,Taraxacum agg.
Taraxacum palustre,Taraxacum agg.
